ID Karyawan,Nama Karyawan,Jenis Kelamin,Email,Jabatan,Status Kerja,Gaji Pokok,Tunjangan Jabatan,Bank,No. Rekening,Hari Hadir,Hari Sakit,Hari Cuti,Hari Alpha,Status Input,Jam_Lembur
KRY-001,Vina Haryanto,Perempuan,vina.haryanto88@outlook.com,Customer Service,TETAP,16182000,1867000,BNI,6668882537,20,0,0,2,TERCATAT,5
KRY-002,Cahyo Putra,Laki-laki,cahyo.putra69@gmail.com,Teknologi Informasi (IT),TETAP,6001000,791000,BCA,3531138522,21,1,0,0,TERCATAT,18
KRY-003,Fajar Purnama,Laki-laki,fajar.purnama19@hotmail.com,Operasional,KONTRAK,10138000,1645000,BCA,9107963694,18,0,0,4,TERCATAT,9
KRY-004,Dewi Wibowo,Perempuan,dewi.wibowo23@hotmail.com,Logistik & Gudang,TETAP,10828000,1146000,Mandiri,8504245665,21,2,0,0,TERCATAT,8
KRY-005,Eko Kurniawan,Laki-laki,eko.kurniawan76@company.co.id,Produksi,TETAP,10548000,1503000,Mandiri,1839303017,22,2,1,0,TERCATAT,3
KRY-006,Elsa Suryanto,Perempuan,elsa.suryanto71@company.co.id,Sumber Daya Manusia (HRD),TETAP,7694000,988000,BCA,3094456549,20,2,2,0,TERCATAT,1
KRY-007,Miko Aulia,Laki-laki,miko.aulia72@company.co.id,Legal,TETAP,11978000,1946000,BSI,3840307368,19,1,1,1,TERCATAT,14
KRY-008,Andi Saputra,Laki-laki,andi.saputra71@hotmail.com,Quality Control (QC),KONTRAK,9458000,977000,BRI,6449644941,20,0,0,2,TERCATAT,9
KRY-009,Hani Putra,Perempuan,hani.putra83@gmail.com,Keuangan & Akuntansi,KONTRAK,19588000,2572000,BNI,8573694822,22,1,1,0,TERCATAT,15
KRY-010,Taufik Anggraini,Laki-laki,taufik.anggraini67@company.co.id,Administrasi,KONTRAK,8466000,923000,BCA,5528607283,19,2,1,0,TERCATAT,19
KRY-011,Salma Maulana,Perempuan,salma.maulana40@outlook.com,Sumber Daya Manusia (HRD),KONTRAK,6860000,1290000,BRI,7594426833,20,2,2,0,TERCATAT,4
KRY-012,Cahyo Kurniawan,Laki-laki,cahyo.kurniawan24@hotmail.com,Pemasaran,KONTRAK,11850000,1783000,BNI,9558054132,22,2,0,0,TERCATAT,12
KRY-013,Sari Haryanto,Perempuan,sari.haryanto95@gmail.com,Administrasi,KONTRAK,10881000,1459000,BNI,8718024691,21,0,1,0,TERCATAT,13
KRY-014,Rizky Firmansyah,Laki-laki,rizky.firmansyah58@gmail.com,Customer Service,TETAP,9154000,1428000,Mandiri,8725381939,21,1,1,0,TERCATAT,15
KRY-015,Rafi Santoso,Laki-laki,rafi.santoso20@company.co.id,Legal,KONTRAK,13023000,1066000,BCA,9727326626,19,0,1,2,TERCATAT,8
