Nama Karyawan,Email,Jabatan,Status Kerja,Gaji Pokok,Tunjangan Jabatan,Bank,No. Rekening,Hari Hadir,Hari Sakit,Hari Cuti,Hari Alpha,Status Input,Jam_Lembur
Vina Haryanto,vina.haryanto88@outlook.com,Customer Service,TETAP,16182000,1867000,BNI,6668882537,20,0,0,2,TERCATAT,5
Cahyo Putra,cahyo.putra69@gmail.com,Teknologi Informasi (IT),TETAP,6001000,791000,BCA,3531138522,21,1,0,0,TERCATAT,18
Fajar Purnama,fajar.purnama19@hotmail.com,Operasional,KONTRAK,10138000,1645000,BCA,9107963694,18,0,0,4,TERCATAT,9
Dewi Wibowo,dewi.wibowo23@hotmail.com,Logistik & Gudang,TETAP,10828000,1146000,Mandiri,8504245665,21,2,0,0,TERCATAT,8
Eko Kurniawan,eko.kurniawan76@company.co.id,Produksi,TETAP,10548000,1503000,Mandiri,1839303017,22,2,1,0,TERCATAT,3
Elsa Suryanto,elsa.suryanto71@company.co.id,Sumber Daya Manusia (HRD),TETAP,7694000,988000,BCA,3094456549,20,2,2,0,TERCATAT,1
Miko Aulia,miko.aulia72@company.co.id,Legal,TETAP,11978000,1946000,BSI,3840307368,19,1,1,1,TERCATAT,14
Andi Saputra,andi.saputra71@hotmail.com,Quality Control (QC),KONTRAK,9458000,977000,BRI,6449644941,20,0,0,2,TERCATAT,9
Hani Putra,hani.putra83@gmail.com,Keuangan & Akuntansi,KONTRAK,19588000,2572000,BNI,8573694822,22,1,1,0,TERCATAT,15
Taufik Anggraini,taufik.anggraini67@company.co.id,Administrasi,KONTRAK,8466000,923000,BCA,5528607283,19,2,1,0,TERCATAT,19
Salma Maulana,salma.maulana40@outlook.com,Sumber Daya Manusia (HRD),KONTRAK,6860000,1290000,BRI,7594426833,20,2,2,0,TERCATAT,4
Cahyo Kurniawan,cahyo.kurniawan24@hotmail.com,Pemasaran,KONTRAK,11850000,1783000,BNI,9558054132,22,2,0,0,TERCATAT,12
Sari Haryanto,sari.haryanto95@gmail.com,Administrasi,KONTRAK,10881000,1459000,BNI,8718024691,21,0,1,0,TERCATAT,13
Rizky Firmansyah,rizky.firmansyah58@gmail.com,Customer Service,TETAP,9154000,1428000,Mandiri,8725381939,21,1,1,0,TERCATAT,15
Rafi Santoso,rafi.santoso20@company.co.id,Legal,KONTRAK,13023000,1066000,BCA,9727326626,19,0,1,2,TERCATAT,8
Nadia Maulana,nadia.maulana78@gmail.com,Logistik & Gudang,TETAP,12052000,1490000,BSI,6967414997,19,2,0,1,TERCATAT,9
Fajar Aulia,fajar.aulia16@yahoo.com,Keuangan & Akuntansi,TETAP,5362000,949000,BCA,3368297748,19,2,1,0,TERCATAT,12
Aditya Kurniawan,aditya.kurniawan71@outlook.com,Keuangan & Akuntansi,KONTRAK,7996000,790000,BNI,2204929261,20,1,1,0,TERCATAT,10
Bella Mahendra,bella.mahendra90@hotmail.com,Administrasi,KONTRAK,9455000,1389000,Mandiri,7269299553,18,0,1,3,TERCATAT,20
Wulan Susanto,wulan.susanto99@outlook.com,Logistik & Gudang,KONTRAK,14291000,2802000,BSI,7381292064,22,2,2,0,TERCATAT,2
Citra Maulana,citra.maulana10@hotmail.com,Produksi,TETAP,5426000,543000,BRI,6356247015,22,0,0,0,TERCATAT,5
Joko Aulia,joko.aulia99@yahoo.com,Public Relations (PR),TETAP,9618000,1440000,BRI,1392253539,18,2,0,2,TERCATAT,5
Taufik Setiawan,taufik.setiawan34@outlook.com,Public Relations (PR),TETAP,10680000,1912000,BRI,1111382660,18,0,0,4,TERCATAT,10
Vina Nugraha,vina.nugraha13@gmail.com,Teknologi Informasi (IT),TETAP,7258000,595000,BNI,5528927095,21,0,0,1,TERCATAT,9
Fajar Kurniawan,fajar.kurniawan46@gmail.com,Pengadaan (Procurement),KONTRAK,8606000,800000,BCA,9990377301,18,1,1,2,TERCATAT,15
Jihan Haryanto,jihan.haryanto87@gmail.com,Produksi,TETAP,9492000,780000,BSI,7013875175,20,0,0,2,TERCATAT,15
Oscar Anggraini,oscar.anggraini95@yahoo.com,Customer Service,KONTRAK,9671000,994000,BSI,4745011896,21,1,1,0,TERCATAT,16
Eko Aulia,eko.aulia34@gmail.com,Operasional,KONTRAK,21937000,3903000,BSI,1218225680,19,1,0,2,TERCATAT,2
Eko Hakim,eko.hakim22@outlook.com,Produksi,TETAP,9577000,1859000,BSI,3226843361,19,2,1,0,TERCATAT,16
Kevin Suryanto,kevin.suryanto76@gmail.com,Operasional,TETAP,9099000,887000,BNI,6281636927,20,2,0,0,TERCATAT,6
Wulan Putra,wulan.putra67@gmail.com,Pemasaran,TETAP,10845000,1648000,Mandiri,2345587393,22,0,0,0,TERCATAT,11
Dewi Siregar,dewi.siregar47@yahoo.com,Riset & Pengembangan (R&D),KONTRAK,7865000,1216000,BCA,6729351391,18,0,2,2,TERCATAT,17
